Artist,Date,Title
Mary J. Blige,2025-01-04,Family Affair
The Script,2025-01-04,The Man Who Can't Be Moved
Christopher,2025-01-04,Lose A You
Kygo and Ava Max,2025-01-04,Whatever
LeAnn Rimes,2025-01-04,Can't Fight The Moonlight
Drew Sycamore,2025-01-04,Another Lovesong
Flo Rida ft. Sia,2025-01-04,Wild Ones
Miley Cyrus,2025-01-04,End Of The World
Rema and Selena Gomez,2025-01-04,Calm Down
Imagine Dragons,2025-01-04,On Top Of The World
Myles Smith,2025-01-04,Nice To Meet You
Alex Warren ft. Ella Henderson,2025-01-04,Carry You Home
Westlife,2025-01-04,World Of Our Own
Billie Eilish,2025-01-04,Birds Of A Feather
Fergie,2025-01-04,Big Girls Don't Cry
Glass Animals,2025-01-04,Heat Waves
Drew Sycamore,2025-01-04,Lonely Heat
Noah Kahan,2025-01-04,Stick Season
Jubel ft. Neimy,2025-01-04,Dancing In The Moonlight
Jax Jones ft. MNEK,2025-01-04,Where Did You Go
Katy Perry,2025-01-04,Teenage Dream
Alex Warren,2025-01-04,Ordinary
The Weeknd,2025-01-04,Blinding Lights
Lost Frequencies,2025-01-04,Are You With Me
B.O.B. ft. Hayley Williams,2025-01-04,Airplanes
Benson Boone,2025-01-04,Beautiful Things
Rihanna,2025-01-04,Only Girl
Dua Lipa,2025-01-04,Houdini
The Weeknd,2025-01-04,Dancing In The Flames
Shaboozey,2025-01-04,A Bar Song
Iyaz,2025-01-04,Replay
Teddy Swims,2025-01-04,The Door
Bruno Mars,2025-01-04,Just The Way You Are
OneRepublic,2025-01-04,Counting Stars
Jordin Sparks and Chris Brown,2025-01-04,No Air
Dasha,2025-01-04,Austin
Avicii vs. Nicki Romero,2025-01-04,I Could Be The One
Justin Timberlake,2025-01-04,Mirrors
Tobias Rahim ft. Andreas Odbjerg,2025-01-04,Stor Mand
Jonah Blacksmith,2025-01-04,Yellow Bike
David Guetta ft. MistaJam ft. John Newman,2025-01-04,If You Really Love Me
Drew Sycamore,2025-01-04,Change The World
"Robin Schulz, Lilly Wood, The Prick",2025-01-04,Prayer In C
P!nk,2025-01-04,Never Gonna Not Dance Again
Mabel,2025-01-04,Don't Call Me Up
Joel Corry and MNEK,2025-01-04,Head & Heart
Calvin Harris ft. Rag'n'Bone Man,2025-01-04,Lovers In A Past Life
The Calling,2025-01-04,Wherever You Will Go
Loreen,2025-01-04,Euphoria
C21,2025-01-04,Stuck In My Heart
C21,2025-01-04,One of Us Is Lonely
Eric Prydz,2025-01-04,Call On Me
Selena Gomez ft. Marshmello,2025-01-04,Wolves
Calum Scott,2025-01-04,Dancing On My Own
Black Eyed Peas,2025-01-04,Where Is The Love
Christopher,2025-01-04,Fall So Hard
Drew Sycamore,2025-01-04,Take It Back
Eminem ft. Rihanna,2025-01-04,The Monster
"Coldplay, Little Simz, Burna Boy, Elyanna, Tini",2025-01-04,We Pray
Westlife,2025-01-04,When You're Looking Like That
Zedd and Grey ft. Maren Moris,2025-01-04,The Middle
Jonah Blacksmith,2025-01-04,House On Fire
Lewis Capaldi,2025-01-04,Someone You Loved
Avril Lavigne,2025-01-05,Complicated
Zara Larsson and David Guetta,2025-01-05,On My Love
Ed Sheeran,2025-01-05,Shape Of You
Uro,2025-01-05,Min Bror
Mark Ambor,2025-01-05,Belong Together
eminem,2025-01-05,The Real Slim Shady
Dasha,2025-01-05,Not At This Party
Shaboozey,2025-01-05,A Bar Song
The Script,2025-01-05,The Man Who Can't Be Moved
Christopher,2025-01-05,Lose A You
Kygo and Ava Max,2025-01-05,Whatever
LeAnn Rimes,2025-01-05,Can't Fight The Moonlight
Drew Sycamore,2025-01-05,Another Lovesong
Flo Rida ft. Sia,2025-01-05,Wild Ones
Miley Cyrus,2025-01-05,End Of The World
Rema and Selena Gomez,2025-01-05,Calm Down
Imagine Dragons,2025-01-05,On Top Of The World
Myles Smith,2025-01-05,Nice To Meet You
Alex Warren ft. Ella Henderson,2025-01-05,Carry You Home
Westlife,2025-01-05,World Of Our Own
Billie Eilish,2025-01-05,Birds Of A Feather
Fergie,2025-01-05,Big Girls Don't Cry
Glass Animals,2025-01-05,Heat Waves
Drew Sycamore,2025-01-05,Lonely Heat
Noah Kahan,2025-01-05,Stick Season
Jubel ft. Neimy,2025-01-05,Dancing In The Moonlight
Jax Jones ft. MNEK,2025-01-05,Where Did You Go
Alex Warren,2025-01-05,Ordinary
The Weeknd,2025-01-05,Blinding Lights
Lost Frequencies,2025-01-05,Are You With Me
B.O.B. ft. Hayley Williams,2025-01-05,Airplanes
Benson Boone,2025-01-05,Beautiful Things
Rihanna,2025-01-05,Only Girl
The Weeknd,2025-01-05,Dancing In The Flames
Iyaz,2025-01-05,Replay
Teddy Swims,2025-01-05,The Door
Bruno Mars,2025-01-05,Just The Way You Are
OneRepublic,2025-01-05,Counting Stars
Jordin Sparks and Chris Brown,2025-01-05,No Air
Dasha,2025-01-05,Austin
Avicii vs. Nicki Romero,2025-01-05,I Could Be The One
Justin Timberlake,2025-01-05,Mirrors
Tobias Rahim ft. Andreas Odbjerg,2025-01-05,Stor Mand
Dermot Kennedy,2025-01-05,Outnumbered
Jonah Blacksmith,2025-01-05,Yellow Bike
David Guetta ft. MistaJam ft. John Newman,2025-01-05,If You Really Love Me
Drew Sycamore,2025-01-05,Change The World
"Robin Schulz, Lilly Wood, The Prick",2025-01-05,Prayer In C
P!nk,2025-01-05,Never Gonna Not Dance Again
Mabel,2025-01-05,Don't Call Me Up
Joel Corry and MNEK,2025-01-05,Head & Heart
Calvin Harris ft. Rag'n'Bone Man,2025-01-05,Lovers In A Past Life
The Calling,2025-01-05,Wherever You Will Go
Loreen,2025-01-05,Euphoria
C21,2025-01-05,Stuck In My Heart
C21,2025-01-05,One of Us Is Lonely
Eric Prydz,2025-01-05,Call On Me
Selena Gomez ft. Marshmello,2025-01-05,Wolves
Calum Scott,2025-01-05,Dancing On My Own
Black Eyed Peas,2025-01-05,Where Is The Love
Christopher,2025-01-05,Fall So Hard
Clean Bandit ft. Zara Larsson,2025-01-05,Symphony
Lady Gaga ft. Colby O' Donis,2025-01-05,Just Dance
Drew Sycamore,2025-01-05,Take It Back
Eminem ft. Rihanna,2025-01-05,The Monster
"Coldplay, Little Simz, Burna Boy, Elyanna, Tini",2025-01-05,We Pray
Westlife,2025-01-05,When You're Looking Like That
Zedd and Grey ft. Maren Moris,2025-01-05,The Middle
Jonah Blacksmith,2025-01-05,House On Fire
Lewis Capaldi,2025-01-05,Someone You Loved
Avril Lavigne,2025-01-06,Complicated
Zara Larsson and David Guetta,2025-01-06,On My Love
Ed Sheeran,2025-01-06,Shape Of You
Uro,2025-01-06,Min Bror
Mark Ambor,2025-01-06,Belong Together
eminem,2025-01-06,The Real Slim Shady
Dasha,2025-01-06,Not At This Party
Shaboozey,2025-01-06,A Bar Song
The Script,2025-01-06,The Man Who Can't Be Moved
Christopher,2025-01-06,Lose A You
Kygo and Ava Max,2025-01-06,Whatever
LeAnn Rimes,2025-01-06,Can't Fight The Moonlight
Drew Sycamore,2025-01-06,Another Lovesong
Flo Rida ft. Sia,2025-01-06,Wild Ones
Miley Cyrus,2025-01-06,End Of The World
Rema and Selena Gomez,2025-01-06,Calm Down
Imagine Dragons,2025-01-06,On Top Of The World
Myles Smith,2025-01-06,Nice To Meet You
Alex Warren ft. Ella Henderson,2025-01-06,Carry You Home
Westlife,2025-01-06,World Of Our Own
Billie Eilish,2025-01-06,Birds Of A Feather
Fergie,2025-01-06,Big Girls Don't Cry
Glass Animals,2025-01-06,Heat Waves
Drew Sycamore,2025-01-06,Lonely Heat
Noah Kahan,2025-01-06,Stick Season
Jubel ft. Neimy,2025-01-06,Dancing In The Moonlight
Jax Jones ft. MNEK,2025-01-06,Where Did You Go
Katy Perry,2025-01-06,Teenage Dream
Alex Warren,2025-01-06,Ordinary
The Weeknd,2025-01-06,Blinding Lights
Lost Frequencies,2025-01-06,Are You With Me
B.O.B. ft. Hayley Williams,2025-01-06,Airplanes
Benson Boone,2025-01-06,Beautiful Things
Rihanna,2025-01-06,Only Girl
Dua Lipa,2025-01-06,Houdini
The Weeknd,2025-01-06,Dancing In The Flames
Iyaz,2025-01-06,Replay
Teddy Swims,2025-01-06,The Door
Bruno Mars,2025-01-06,Just The Way You Are
Chappell Roan,2025-01-06,"Good Luck, Babe!"
OneRepublic,2025-01-06,Counting Stars
Jordin Sparks and Chris Brown,2025-01-06,No Air
Avicii vs. Nicki Romero,2025-01-06,I Could Be The One
Justin Timberlake,2025-01-06,Mirrors
Tobias Rahim ft. Andreas Odbjerg,2025-01-06,Stor Mand
Dermot Kennedy,2025-01-06,Outnumbered
Jonah Blacksmith,2025-01-06,Yellow Bike
David Guetta ft. MistaJam ft. John Newman,2025-01-06,If You Really Love Me
Drew Sycamore,2025-01-06,Change The World
"Robin Schulz, Lilly Wood, The Prick",2025-01-06,Prayer In C
P!nk,2025-01-06,Never Gonna Not Dance Again
Mabel,2025-01-06,Don't Call Me Up
Joel Corry and MNEK,2025-01-06,Head & Heart
Calvin Harris ft. Rag'n'Bone Man,2025-01-06,Lovers In A Past Life
The Calling,2025-01-06,Wherever You Will Go
Loreen,2025-01-06,Euphoria
C21,2025-01-06,Stuck In My Heart
C21,2025-01-06,One of Us Is Lonely
Eric Prydz,2025-01-06,Call On Me
Selena Gomez ft. Marshmello,2025-01-06,Wolves
Calum Scott,2025-01-06,Dancing On My Own
Black Eyed Peas,2025-01-06,Where Is The Love
Christopher,2025-01-06,Fall So Hard
Dasha,2025-01-06,Austin
Lady Gaga ft. Colby O' Donis,2025-01-06,Just Dance
Drew Sycamore,2025-01-06,Take It Back
Eminem ft. Rihanna,2025-01-06,The Monster
"Coldplay, Little Simz, Burna Boy, Elyanna, Tini",2025-01-06,We Pray
Westlife,2025-01-06,When You're Looking Like That
Zedd and Grey ft. Maren Moris,2025-01-06,The Middle
Jonah Blacksmith,2025-01-06,House On Fire
Avril Lavigne,2025-01-07,Complicated
Zara Larsson and David Guetta,2025-01-07,On My Love
Ed Sheeran,2025-01-07,Shape Of You
Uro,2025-01-07,Min Bror
Mark Ambor,2025-01-07,Belong Together
eminem,2025-01-07,The Real Slim Shady
Dasha,2025-01-07,Not At This Party
The Script,2025-01-07,The Man Who Can't Be Moved
Christopher,2025-01-07,Lose A You
