Track,Repeats,Stations,Station_Count
Damiano David - Born With A Broken Heart,1,P4,1
Dan Winter - Party Jump (Dj Tht Ced Tecknoboy Bootleg),1,PartyFM,1
Dancing In The Flames - The Weeknd,1,TheVoice,1
Danny Klark - Pjanoo (Bass Power Remix),1,PartyFM,1
David Guetta & Alesso - Every Chance We Get We Run Feat. Tegan Quin & Sara,1,PartyFM,1
David Guetta - Without You,1,SkalaFM,1
David Guetta and Bebe Rexha - I'm Good,1,NOVA,1
"David Guetta, Alphaville & Ava Max - Forever Young",1,SkalaFM,1
Debbii Dawson - You Killed The Music,1,P3,1
Decoy! & The Royalties STHLM - You Are Not Alone,1,PartyFM,1
Depeche Mode - Policy Of Truth,1,P4,1
Die With A Smile - Lady GaGa and Bruno Mars,1,Radio100,1
Died In Your Arms - Cutting Crew,1,Radio100,1
Dino & Rocker - Breakfast At Tiffanys (Justin Corza Meets Greg Blast Remix),1,PartyFM,1
Dj Aligator - Protect Your Ears (Pulsedriver Remix),1,PartyFM,1
Dj Gollum Vs. Basslovers United - Narcotic (Dj Tht Remix),1,PartyFM,1
Don't Call Me Up - Mabel,1,TheVoice,1
Don't Get Me Wrong - The Pretenders,1,PopFM,1
Don't Leave Tonight - Thomas Helmig,1,PopFM,1
Don't Look Back In Anger - Oasis,1,Radio100,1
Don't Speak - No Doubt,1,Radio100,1
Don't Wake Me Up - James Hype,1,TheVoice,1
Down - Jay Sean,1,TheVoice,1
Dr. Alban - It's My Life,1,PartyFM,1
Drew Sycamore - 45 Fahrenheit Girl,1,NOVA,1
Drew Sycamore - Another Lovesong,1,NOVA,1
Drew Sycamore - Lonely Heat,1,NOVA,1
Drive By - Train,1,Radio100,1
Drop Dead Beautiful - Six Was Nine,1,Radio100,1
Dua Lipa - Be The One,1,P3,1
Dua Lipa - Dance the Night,1,SkalaFM,1
Dua Lipa - Houdini,1,SkalaFM,1
Dua Lipa - Scared to Be Lonely,1,PartyFM,1
DubVision & Pontifexx - Stand By You,1,PartyFM,1
Durs - Walking on Clouds,1,PartyFM,1
E-Rotic - Sex on the Phone,1,PartyFM,1
ED SHEERAN / LIL BABY - 2step,1,RadioGlobus,1
EMINEM - When i'm gone,1,RadioGlobus,1
East & Young - With You (Extended Mix),1,PartyFM,1
Ed Sheeran - Bad Habits,1,NOVA,1
Ed Sheeran - Shape Of You,1,NOVA,1
Ed Sheeran - Shape of You,1,SkalaFM,1
"Elton John, Dua Lipa - Cold Heart (PNAU Remix)",1,P3,1
Eminem - The Real Slim Shady (Claes' Nik & Jay Bootleg),1,PartyFM,1
Erasure - A Little Respect,1,P4,1
Eric Prydz - Breathe Feat. Rob Swire,1,PartyFM,1
Escapism - RAYE ft. 070 Shake,1,TheVoice,1
Every Breath You Take - The Police,1,PopFM,1
Everybody Hurts - R.E.M,1,Radio100,1
Everything Counts - Depeche Mode,1,PopFM,1
FELIX JAEHN / WHITNEY HOUSTON - It's not right but it's okay,1,RadioGlobus,1
FKA twigs - Perfect Stranger,1,P3,1
"FLO RIDA / ROBIN THICKE / VERDINE WHITE - I don't like it, i love it",1,RadioGlobus,1
FOOL - Worry,1,P3,1
Fading Like A Flower - Roxette,1,PopFM,1
Falling In Love - Ub40,1,PopFM,1
Fast Car - Luke Combs,1,Radio100,1
Felix Jaehn ft. Jasmine Thompson - Ain't Nobody,1,NOVA,1
Fergie - Big Girls Don't Cry,1,NOVA,1
Fireflies - Owl City,1,Radio100,1
Flashdance...What A Feeling - Irene Cara,1,PopFM,1
Fly Project - Mandala,1,PartyFM,1
From Paris To Berlin - Infernal,1,Radio100,1
GEORGE EZRA - Hold my girl,1,RadioGlobus,1
GWEN STEFANI / EVE - Rich girl,1,RadioGlobus,1
Gathania - Blame It On You (De-Grees Mix),1,PartyFM,1
George Michael - Faith,1,P4,1
"Get Outta My Dreams, Get Into My Car - Billy Ocean",1,PopFM,1
Ghost - Christopher,1,Radio100,1
Give It Up - Kc and The Sunshine Band,1,PopFM,1
Greedy - Tate McRae,1,TheVoice,1
Groove Coverage - On The Radio (Danceboy Bootleg Mix),1,PartyFM,1
Gwen Stefani - The Sweet Escape,1,SkalaFM,1
Harry Styles - Adore You,1,SkalaFM,1
Harry Styles - As It Was,1,SkalaFM,1
Harry Styles - Late Night Talking,1,P4,1
Henry Fong & Scndl - Ass Up,1,PartyFM,1
Hey Little Girl - Icehouse,1,PopFM,1
High - Lighthouse Family,1,PopFM,1
Hold Me Now - Johnny Logan,1,PopFM,1
Hold On - Justin Bieber,1,TheVoice,1
Hollaback Girl - Gwen Stefani,1,TheVoice,1
How Do I Say Goodbye - Dean Lewis,1,Radio100,1
How Will I Know - Whitney Houston,1,Radio100,1
How You Remind Me - Nickelback,1,Radio100,1
Hozier - Take Me To Church,1,P3,1
Hozier - Too Sweet,1,SkalaFM,1
Hugo Helmig - Please Don't Lie,1,P4,1
Hungry Eyes - Eric Carmen,1,Radio100,1
Hungry Heart - Bruce Springsteen,1,PopFM,1
I Adore You - Hugel ft. Topic ft. Arash ft. Daecolm,1,TheVoice,1
I Don't Wanna Wait - David Guetta and OneRepublic,1,Radio100,1
I Don't Want To Miss A Thing - Aerosmith,1,Radio100,1
I Knew I Loved You - Savage Garden,1,PopFM,1
I Like The Way You Kiss Me - Artemas,1,TheVoice,1
I Love It - Icona Pop,1,TheVoice,1
I Want It That Way - Backstreet Boys,1,PopFM,1
I Want You - Savage Garden,1,PopFM,1
I'm Like A Bird - Nelly Furtado,1,Radio100,1
I'm Your Baby Tonight - Whitney Houston,1,PopFM,1
I'm Your Man - Wham!,1,PopFM,1
I've Been Thinking About You - Londonbeat,1,PopFM,1
If I Could Turn Back Time - Cher,1,Radio100,1
If This Is It - Huey Lewis and The News,1,PopFM,1
If You Leave - Orchestral Manoeuvres In The Dark,1,PopFM,1
In The Shadows - The Rasmus,1,Radio100,1
Instruction - Jax Jones ft. Demi Lovato and S,1,TheVoice,1
Iris Gold - Lover Of My Own,1,P4,1
JAMES BLUNT - I'll be your man,1,RadioGlobus,1
JENNIE ft. Dua Lipa - Handlebars,1,NOVA,1
"JENNIE, Dua Lipa - Handlebars",1,P3,1
"JOSVA, Artigeardit - Lonely",1,P3,1
JULIE - Completely fallen,1,RadioGlobus,1
Jacob Dinesen - Take Her Away,1,P4,1
James Bay - Hold Back The River,1,NOVA,1
James Morrison and Nelly Furtado - Broken Strings,1,NOVA,1
Janet - The Commodores,1,PopFM,1
Jason Derulo - Want to Want Me,1,SkalaFM,1
Jay Frog & KLC - Da Beat (Club Mix),1,PartyFM,1
Jaybee - Please Don't Go Feat. Sandman (Dj Klubbingman Meets Raindropz Remix),1,PartyFM,1
Jeff Retro - Isle Of Man,1,PartyFM,1
Jerome & Imallryt - Still Need You,1,PartyFM,1
Jetfire & Qulinez - I Feel Feat. Karmatek,1,PartyFM,1
Jodie Connor - Now Or Never Feat. Wiley (Ruff Loaderz Club Mix),1,PartyFM,1
John Mayer - Your Body Is A Wonderland,1,P4,1
Jonathan - Back to Back,1,Radio100,1
Junior Caldera - What You Get,1,PartyFM,1
Just Dance - Lady Gaga ft. Colby O' Donis,1,Radio100,1
Justin Bieber - Sorry,1,SkalaFM,1
Justin Bieber - What Do You Mean?,1,SkalaFM,1
"Justin Bieber, Giveon, Daniel Caesar - Peaches",1,P3,1
Justin Timberlake - Can't Stop The Feeling,1,P4,1
Justin Timberlake - Can't Stop the Feeling!,1,SkalaFM,1
Justin Timberlake - Mirrors,1,SkalaFM,1
Justin Timberlake - What Goes Around... Comes Around,1,SkalaFM,1
Justin Timberlake - What Goes Around.../..Comes Around (Interlude),1,P3,1
KASHMIR - Rocket brothers,1,RadioGlobus,1
KATY PERRY - Birthday,1,RadioGlobus,1
KELLY CLARKSON - Heartbeat song,1,RadioGlobus,1
KID ROCK - All summer long,1,RadioGlobus,1
KYGO / KYLA LA GRANGE - Cut your teeth (Kygo remix),1,RadioGlobus,1
Kaaze - Drop The Power,1,PartyFM,1
Kate Bush - Running Up That Hill (A Deal With God),1,P4,1
Katy Perry - Roar,1,SkalaFM,1
"Katy Perry, Skip Marley - Chained To The Rhythm",1,P3,1
Killah Swagger - Turn up the music (DRM vs DAYZ remix edit),1,PartyFM,1
Kings Of Leon - Sex On Fire,1,P4,1
Kings of Leon - Sex on Fire,1,SkalaFM,1
Kiss - Prince and The Revolution,1,PopFM,1
Kokomo - The Beach Boys,1,PopFM,1
Kongsted - What I Want Feat. FVN,1,PartyFM,1
Kwamie Liv - New Boo,1,P4,1
Kygo and Ava Max - Whatever,1,NOVA,1
LADY GAGA - Hold my hand,1,RadioGlobus,1
LEWIS CAPALDI - Before you go,1,RadioGlobus,1
LISA / DOJA CAT / RAYE - Born again (Purple Disco Machine remix),1,RadioGlobus,1
